,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0,hl4.5
2020-03-06,2.9859719438877756,1.8436873747494988,4.06813627254509,84.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-07,2.0841683366733466,1.062124248496994,3.066132264529058,104.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-08,2.2044088176352705,1.5230460921843687,2.845691382765531,133.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-09,2.004008016032064,1.4629258517034067,2.50501002004008,152.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-10,1.9438877755511021,1.4629258517034067,2.4048096192384767,181.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-11,1.9238476953907815,1.4829659318637274,2.344689378757515,223.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-12,1.6833667334669338,1.2625250501002003,2.0841683366733466,230.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-13,2.464929859719439,2.1042084168336674,2.8056112224448895,388.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-14,2.565130260521042,2.2645290581162323,2.8657314629258517,519.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-15,2.7254509018036073,2.464929859719439,2.9859719438877756,679.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-16,2.4048096192384767,2.1843687374749496,2.6252505010020037,879.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-17,2.3046092184368736,2.1042084168336674,2.50501002004008,1115.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-18,2.3246492985971945,2.1442885771543083,2.50501002004008,1455.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-19,2.2645290581162323,2.124248496993988,2.4248496993987976,1835.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-20,2.2044088176352705,2.064128256513026,2.344689378757515,2269.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-21,1.9639278557114228,1.8436873747494988,2.0841683366733466,2586.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-22,1.723446893787575,1.6032064128256511,1.8436873747494988,2834.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-23,1.56312625250501,1.442885771543086,1.6633266533066131,3141.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-24,1.442885771543086,1.342685370741483,1.5430861723446894,3357.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-25,1.3627254509018036,1.2625250501002003,1.4629258517034067,3518.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-26,1.4028056112224447,1.3026052104208417,1.503006012024048,3950.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-27,1.4829659318637274,1.3827655310621243,1.56312625250501,4391.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-28,1.6432865731462925,1.56312625250501,1.723446893787575,5076.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-29,1.5430861723446894,1.4629258517034067,1.6232464929859718,5449.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-30,1.4028056112224447,1.3226452905811623,1.4829659318637274,5596.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-31,1.1823647294589177,1.1022044088176353,1.2625250501002003,5659.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-01,1.0821643286573146,1.002004008016032,1.1623246492985972,5708.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-02,1.0220440881763526,0.9418837675350701,1.1022044088176353,5666.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-03,1.002004008016032,0.9218436873747494,1.0821643286573146,5653.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-04,0.9619238476953907,0.8817635270541082,1.0420841683366733,5583.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-05,0.9819639278557114,0.9018036072144289,1.062124248496994,5594.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-06,0.9018036072144289,0.8416833667334669,0.9819639278557114,5366.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-07,0.8416833667334669,0.7615230460921844,0.9218436873747494,5116.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-08,0.7615230460921844,0.6813627254509018,0.8416833667334669,4892.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-09,0.7414829659318637,0.6613226452905812,0.8216432865731462,4627.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-10,0.7414829659318637,0.6613226452905812,0.8416833667334669,4424.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-11,0.7615230460921844,0.6613226452905812,0.8416833667334669,4243.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-12,0.781563126252505,0.7014028056112224,0.8817635270541082,4096.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-13,0.7615230460921844,0.6813627254509018,0.8617234468937875,3858.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-14,0.6012024048096192,0.5210420841683366,0.7014028056112224,3362.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-15,0.4408817635270541,0.3406813627254509,0.5410821643286573,2958.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-16,0.3607214428857715,0.2605210420841683,0.48096192384769537,2688.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-17,0.5811623246492986,0.4609218436873747,0.7014028056112224,2667.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-18,0.8016032064128256,0.6813627254509018,0.9218436873747494,2646.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-19,0.9218436873747494,0.8216432865731462,1.0420841683366733,2577.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-20,0.9018036072144289,0.8016032064128256,1.0220440881763526,2530.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-21,0.8416833667334669,0.7414829659318637,0.9619238476953907,2428.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-22,0.7414829659318637,0.6212424849699398,0.8617234468937875,2212.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-23,0.6813627254509018,0.561122244488978,0.8016032064128256,2099.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-24,0.6012024048096192,0.4609218436873747,0.721442885771543,1929.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-25,0.7414829659318637,0.6012024048096192,0.8817635270541082,1911.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-26,0.781563126252505,0.6412825651302605,0.9218436873747494,1853.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-27,0.8216432865731462,0.6813627254509018,0.9619238476953907,1732.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-28,0.7414829659318637,0.6012024048096192,0.8817635270541082,1644.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-29,0.6412825651302605,0.48096192384769537,0.781563126252505,1496.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-30,0.6012024048096192,0.4408817635270541,0.7414829659318637,1369.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-01,0.5811623246492986,0.42084168336673344,0.7414829659318637,1293.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-02,0.6613226452905812,0.501002004008016,0.8216432865731462,1237.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-03,0.721442885771543,0.561122244488978,0.9018036072144289,1170.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-04,0.6813627254509018,0.5210420841683366,0.8617234468937875,1079.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-05,0.6212424849699398,0.4408817635270541,0.781563126252505,987.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-06,0.5410821643286573,0.3607214428857715,0.721442885771543,899.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-07,0.6412825651302605,0.4408817635270541,0.8216432865731462,878.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-08,0.8617234468937875,0.6613226452905812,1.062124248496994,916.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-09,1.0821643286573146,0.8817635270541082,1.2625250501002003,938.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-10,1.122244488977956,0.9218436873747494,1.3026052104208417,940.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-11,1.0420841683366733,0.8416833667334669,1.2424849699398797,940.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-12,0.8817635270541082,0.6813627254509018,1.0821643286573146,875.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-13,0.7615230460921844,0.561122244488978,0.9619238476953907,814.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-14,0.5210420841683366,0.32064128256513025,0.721442885771543,710.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
